package	version
R	4.5.2
AnnotationDbi	1.72.0
MASS	7.3.65
MatchIt	4.7.2
RColorBrewer	1.1.3
ReactomePA	1.54.0
SHAPforxgboost	0.1.3
broom	1.0.10
caret	7.0.1
cluster	2.1.8.1
clusterProfiler	4.18.2
cowplot	1.2.0
data.table	1.17.8
dplyr	1.1.4
emmeans	2.0.0
enrichplot	1.30.3
factoextra	1.0.7
ggalluvial	0.12.5
ggforce	0.5.0
ggplot2	4.0.1
ggprism	1.0.7
ggrepel	0.9.6
ggsankeyfier	0.1.8
glmnet	4.1.10
lubridate	1.9.4
mice	3.18.0
nestedcv	0.8.0
networkD3	0.4.1
nnet	7.3.20
optmatch	0.10.8
org.Hs.eg.db	3.22.0
parallel	4.5.2
pheatmap	1.0.13
pROC	1.19.0.1
purrr	1.2.0
ranger	0.17.0
readxl	1.4.5
scales	1.4.0
shapviz	0.10.3
stringr	1.6.0
survival	3.8.3
survminer	0.5.1
tableone	0.13.2
tibble	3.3.0
tidyr	1.3.1
viridis	0.6.5
writexl	1.5.4
xgboost	1.7.11.1
